story,case,direction,drift,label,x_m,y_m
Story5,DRIFT_YN_TP,X,0.00001500,5,16.250000,16.250000
Story5,DRIFT_YN_TP,Y,0.00045700,5,16.250000,16.250000
Story5,DRIFT_YN_TN,X,0.00001500,5,16.250000,16.250000
Story5,DRIFT_YN_TN,Y,0.00030300,5,16.250000,16.250000
Story5,DRIFT_XP_TP,X,0.00045700,6,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00007700,6,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00030300,6,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00007700,6,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00030300,6,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00007700,6,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00045700,6,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00007700,6,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00007700,6,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00030300,6,0.000000,0.000000
Story5,DRIFT_YP_TN,X,0.00007700,6,0.000000,0.000000
Story5,DRIFT_YP_TN,Y,0.00045700,6,0.000000,0.000000
Story5,DRIFT_YN_TP,X,0.00007700,6,0.000000,0.000000
Story5,DRIFT_YN_TP,Y,0.00045700,6,0.000000,0.000000
Story5,DRIFT_YN_TN,X,0.00007700,6,0.000000,0.000000
Story5,DRIFT_YN_TN,Y,0.00030300,6,0.000000,0.000000
Story5,DRIFT_XP_TP,X,0.00042600,7,0.000000,0.000000
Story5,DRIFT_XP_TP,Y,0.00007700,7,0.000000,0.000000
Story5,DRIFT_XP_TN,X,0.00033400,7,0.000000,0.000000
Story5,DRIFT_XP_TN,Y,0.00007700,7,0.000000,0.000000
Story5,DRIFT_XN_TP,X,0.00033400,7,0.000000,0.000000
Story5,DRIFT_XN_TP,Y,0.00007700,7,0.000000,0.000000
Story5,DRIFT_XN_TN,X,0.00042600,7,0.000000,0.000000
Story5,DRIFT_XN_TN,Y,0.00007700,7,0.000000,0.000000
Story5,DRIFT_YP_TP,X,0.00004600,7,0.000000,0.000000
Story5,DRIFT_YP_TP,Y,0.00030300,7,0.000000,0.000000
