Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story20,ED1_DYN_09_YN,Combination,Max,None,Diaph D1 Y,0.001744,0.001533,1.138,2,0,6.446,52.8
Story20,ED1_DYN_09_YN,Combination,Min,None,Diaph D1 Y,0.001982,0.001721,1.152,2,0,6.446,52.8
Story19,Dead,LinStatic,None,None,Diaph D1 Y,0.000106,6.3E-05,1.69,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,1,Diaph D1 X,4.593E-07,2.863E-07,1.604,15,27.834,0,50.2
Story19,MODAL,LinModEigen,Mode,2,Diaph D1 Y,1E-06,4.404E-07,1.173,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,3,Diaph D1 X,4.433E-07,2.522E-07,1.758,53,25.115,13.821,50.2
Story19,MODAL,LinModEigen,Mode,3,Diaph D1 Y,1E-06,2.681E-08,20.862,22,38.505,13.821,50.2
Story19,MODAL,LinModEigen,Mode,4,Diaph D1 X,2E-06,1E-06,1.174,15,27.834,0,50.2
Story19,MODAL,LinModEigen,Mode,5,Diaph D1 Y,2E-06,2E-06,1.035,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,6,Diaph D1 X,1E-06,4.005E-07,3.191,53,25.115,13.821,50.2
Story19,MODAL,LinModEigen,Mode,6,Diaph D1 Y,2E-06,4.586E-08,54.29,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,7,Diaph D1 X,3E-06,2E-06,1.138,15,27.834,0,50.2
Story19,MODAL,LinModEigen,Mode,8,Diaph D1 Y,2E-06,2E-06,1.025,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,9,Diaph D1 X,2E-06,1E-06,3.708,53,25.115,13.821,50.2
Story19,MODAL,LinModEigen,Mode,9,Diaph D1 Y,4E-06,7.087E-08,55.692,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,10,Diaph D1 X,4E-06,3E-06,1.127,15,27.834,0,50.2
Story19,MODAL,LinModEigen,Mode,11,Diaph D1 Y,3E-06,3E-06,1.05,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,12,Diaph D1 X,2E-06,1E-06,3.996,53,25.115,13.821,50.2
Story19,PP,LinStatic,None,None,Diaph D1 Y,0.000106,6.3E-05,1.69,2,0,6.446,50.2
Story19,TERP,LinStatic,None,None,Diaph D1 Y,2.4E-05,1.4E-05,1.721,2,0,6.446,50.2
Story19,TERT,LinStatic,None,None,Diaph D1 Y,2E-06,1E-06,1.796,2,0,6.446,50.2
Story19,SCP,LinStatic,None,None,Diaph D1 Y,4.3E-05,2.5E-05,1.721,2,0,6.446,50.2
Story19,SCT,LinStatic,None,None,Diaph D1 Y,2E-06,1E-06,1.796,2,0,6.446,50.2
Story19,SEx,LinRespSpec,Max,None,Diaph D1 X,0.000945,0.000881,1.073,15,27.834,0,50.2
Story19,SEx,LinRespSpec,Max,None,Diaph D1 Y,0.000928,0.000474,1.959,22,38.505,13.821,50.2
Story19,SEy,LinRespSpec,Max,None,Diaph D1 Y,0.00134,0.00117,1.145,2,0,6.446,50.2
Story19,SEx_b2,LinRespSpec,Max,None,Diaph D1 X,0.000904,0.00086,1.052,15,27.834,0,50.2
Story19,SEx_b2,LinRespSpec,Max,None,Diaph D1 Y,0.000833,0.000422,1.971,22,38.505,13.821,50.2
Story19,SEy_b2,LinRespSpec,Max,None,Diaph D1 Y,0.001054,0.000998,1.056,2,0,6.446,50.2
Story19,ED1_C1_1.4CP,Combination,None,None,Diaph D1 Y,0.000184,0.000108,1.697,2,0,6.446,50.2
Story19,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Diaph D1 Y,0.000227,0.000133,1.704,2,0,6.446,50.2
Story19,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Diaph D1 Y,0.000203,0.000119,1.703,2,0,6.446,50.2
Story19,ED1_DYN_XP,Combination,Max,None,Diaph D1 X,0.001354,0.001247,1.086,15,27.834,0,50.2
Story19,ED1_DYN_XP,Combination,Max,None,Diaph D1 Y,0.001263,0.000585,2.16,22,38.505,13.821,50.2
Story19,ED1_DYN_XP,Combination,Min,None,Diaph D1 X,0.001292,0.00122,1.06,15,27.834,0,50.2
Story19,ED1_DYN_XP,Combination,Min,None,Diaph D1 Y,0.001404,0.000776,1.809,2,0,6.446,50.2
Story19,ED1_DYN_XN,Combination,Max,None,Diaph D1 X,0.001354,0.001247,1.086,15,27.834,0,50.2
Story19,ED1_DYN_XN,Combination,Max,None,Diaph D1 Y,0.001263,0.000585,2.16,22,38.505,13.821,50.2
Story19,ED1_DYN_XN,Combination,Min,None,Diaph D1 X,0.001292,0.00122,1.06,15,27.834,0,50.2
Story19,ED1_DYN_XN,Combination,Min,None,Diaph D1 Y,0.001404,0.000776,1.809,2,0,6.446,50.2
Story19,ED1_DYN_YP,Combination,Max,None,Diaph D1 Y,0.001675,0.001479,1.132,2,0,6.446,50.2
Story19,ED1_DYN_YP,Combination,Min,None,Diaph D1 Y,0.002076,0.001797,1.156,2,0,6.446,50.2
Story19,ED1_DYN_YN,Combination,Max,None,Diaph D1 Y,0.001675,0.001479,1.132,2,0,6.446,50.2
Story19,ED1_DYN_YN,Combination,Min,None,Diaph D1 Y,0.002076,0.001797,1.156,2,0,6.446,50.2
Story19,ED1_DYN_09_XP,Combination,Max,None,Diaph D1 X,0.001342,0.001242,1.081,15,27.834,0,50.2
Story19,ED1_DYN_09_XP,Combination,Max,None,Diaph D1 Y,0.001277,0.000617,2.071,22,38.505,13.821,50.2
Story19,ED1_DYN_09_XP,Combination,Min,None,Diaph D1 X,0.001305,0.001225,1.065,15,27.834,0,50.2
Story19,ED1_DYN_09_XP,Combination,Min,None,Diaph D1 Y,0.001321,0.00071,1.861,2,0,6.446,50.2
Story19,ED1_DYN_09_XN,Combination,Max,None,Diaph D1 X,0.001342,0.001242,1.081,15,27.834,0,50.2
Story19,ED1_DYN_09_XN,Combination,Max,None,Diaph D1 Y,0.001277,0.000617,2.071,22,38.505,13.821,50.2
Story19,ED1_DYN_09_XN,Combination,Min,None,Diaph D1 X,0.001305,0.001225,1.065,15,27.834,0,50.2
Story19,ED1_DYN_09_XN,Combination,Min,None,Diaph D1 Y,0.001321,0.00071,1.861,2,0,6.446,50.2
Story19,ED1_DYN_09_YP,Combination,Max,None,Diaph D1 Y,0.001757,0.001544,1.138,2,0,6.446,50.2
Story19,ED1_DYN_09_YP,Combination,Min,None,Diaph D1 Y,0.001994,0.001731,1.152,2,0,6.446,50.2
Story19,ED1_DYN_09_YN,Combination,Max,None,Diaph D1 Y,0.001757,0.001544,1.138,2,0,6.446,50.2
Story19,ED1_DYN_09_YN,Combination,Min,None,Diaph D1 Y,0.001994,0.001731,1.152,2,0,6.446,50.2
Story18,Dead,LinStatic,None,None,Diaph D1 Y,0.000105,6.2E-05,1.689,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,1,Diaph D1 X,4.656E-07,2.914E-07,1.598,15,27.834,0,47.6
Story18,MODAL,LinModEigen,Mode,2,Diaph D1 Y,1E-06,4.433E-07,1.172,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,3,Diaph D1 X,4.493E-07,2.571E-07,1.748,53,25.115,13.821,47.6
Story18,MODAL,LinModEigen,Mode,3,Diaph D1 Y,1E-06,2.718E-08,20.702,22,38.505,13.821,47.6
Story18,MODAL,LinModEigen,Mode,4,Diaph D1 X,2E-06,1E-06,1.173,15,27.834,0,47.6
Story18,MODAL,LinModEigen,Mode,5,Diaph D1 Y,2E-06,2E-06,1.035,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,6,Diaph D1 X,1E-06,4.045E-07,3.162,53,25.115,13.821,47.6
Story18,MODAL,LinModEigen,Mode,6,Diaph D1 Y,2E-06,4.568E-08,54.325,2,0,6.446,47.6
Story18,MODAL,LinModEigen,Mode,7,Diaph D1 X,3E-06,2E-06,1.136,15,27.834,0,47.6
