Story,Label,UniqueName,OutputCase,CaseType,StepType,StepNumber,DispX,DispY,DriftX,DriftY
Story20,2,113,MODAL,LinModEigen,Mode,10,1.6E-05,-5E-06,3E-06,1E-06
Story20,2,113,MODAL,LinModEigen,Mode,11,5.958E-08,1.7E-05,1.498E-08,3E-06
Story20,2,113,MODAL,LinModEigen,Mode,12,-2E-06,-2.5E-05,4.63E-07,5E-06
Story20,2,113,PP,LinStatic,None,None,6.5E-05,-0.003688,2E-06,0.000106
Story20,2,113,TERP,LinStatic,None,None,3E-06,-0.000846,2.293E-07,2.4E-05
Story20,2,113,TERT,LinStatic,None,None,3.731E-07,-4.8E-05,8.034E-09,2E-06
Story20,2,113,SCP,LinStatic,None,None,6E-06,-0.001511,4.095E-07,4.3E-05
Story20,2,113,SCT,LinStatic,None,None,3.731E-07,-4.8E-05,8.034E-09,2E-06
Story20,2,113,SEx,LinRespSpec,Max,None,0.037589,0.035394,0.000818,0.000853
Story20,2,113,SEy,LinRespSpec,Max,None,0.003219,0.054887,7.1E-05,0.001331
Story20,2,113,SEx_b2,LinRespSpec,Max,None,0.037254,0.031194,0.00081,0.000751
Story20,2,113,SEy_b2,LinRespSpec,Max,None,0.002287,0.04319,4.9E-05,0.001047
Story20,2,113,TorX+,LinStatic,None,None,0,0,0,0
Story20,2,113,TorX-,LinStatic,None,None,0,0,0,0
Story20,2,113,TorY+,LinStatic,None,None,0,0,0,0
Story20,2,113,TorY-,LinStatic,None,None,0,0,0,0
Story20,2,113,ED1_C1_1.4CP,Combination,None,None,9.6E-05,-0.006414,3E-06,0.000185
Story20,2,113,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,9.2E-05,-0.007939,3E-06,0.000229
Story20,2,113,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,8.9E-05,-0.007085,3E-06,0.000204
Story20,2,113,ED1_DYN_XP,Combination,Max,None,0.052713,0.042543,0.001148,0.000993
Story20,2,113,ED1_DYN_XP,Combination,Min,None,-0.052537,-0.056561,0.001142,0.001396
Story20,2,113,ED1_DYN_XN,Combination,Max,None,0.052713,0.042543,0.001148,0.000993
Story20,2,113,ED1_DYN_XN,Combination,Min,None,-0.052537,-0.056561,0.001142,0.001396
Story20,2,113,ED1_DYN_YP,Combination,Max,None,0.004595,0.069833,0.000102,0.001661
Story20,2,113,ED1_DYN_YP,Combination,Min,None,-0.004419,-0.083851,9.6E-05,0.002065
Story20,2,113,ED1_DYN_YN,Combination,Max,None,0.004595,0.069833,0.000102,0.001661
Story20,2,113,ED1_DYN_YN,Combination,Min,None,-0.004419,-0.083851,9.6E-05,0.002065
Story20,2,113,ED1_DYN_09_XP,Combination,Max,None,0.052687,0.045429,0.001147,0.001076
Story20,2,113,ED1_DYN_09_XP,Combination,Min,None,-0.052563,-0.053676,0.001143,0.001314
Story20,2,113,ED1_DYN_09_XN,Combination,Max,None,0.052687,0.045429,0.001147,0.001076
Story20,2,113,ED1_DYN_09_XN,Combination,Min,None,-0.052563,-0.053676,0.001143,0.001314
Story20,2,113,ED1_DYN_09_YP,Combination,Max,None,0.004569,0.072718,0.000101,0.001744
Story20,2,113,ED1_DYN_09_YP,Combination,Min,None,-0.004446,-0.080965,9.7E-05,0.001982
Story20,2,113,ED1_DYN_09_YN,Combination,Max,None,0.004569,0.072718,0.000101,0.001744
Story20,2,113,ED1_DYN_09_YN,Combination,Min,None,-0.004446,-0.080965,9.7E-05,0.001982
Story20,3,136,Dead,LinStatic,None,None,0.000519,-0.003441,1.5E-05,9.9E-05
Story20,3,136,Live,LinStatic,None,None,0,0,0,0
Story20,3,136,MODAL,LinModEigen,Mode,1,2E-05,-1.7E-05,4.359E-07,3.991E-07
Story20,3,136,MODAL,LinModEigen,Mode,2,-2.651E-07,2.1E-05,8.193E-09,1E-06
Story20,3,136,MODAL,LinModEigen,Mode,3,-5E-06,-1.7E-05,7.728E-08,4.168E-07
Story20,3,136,MODAL,LinModEigen,Mode,4,2E-05,-7E-06,2E-06,1E-06
Story20,3,136,MODAL,LinModEigen,Mode,5,-4.874E-07,1.8E-05,3.897E-08,2E-06
Story20,3,136,MODAL,LinModEigen,Mode,6,4E-06,-2.4E-05,3.877E-07,2E-06
Story20,3,136,MODAL,LinModEigen,Mode,7,1.8E-05,-5E-06,3E-06,1E-06
Story20,3,136,MODAL,LinModEigen,Mode,8,-2.193E-07,1.7E-05,2.624E-08,2E-06
Story20,3,136,MODAL,LinModEigen,Mode,9,-5E-06,2.3E-05,1E-06,3E-06
Story20,3,136,MODAL,LinModEigen,Mode,10,1.7E-05,-5E-06,3E-06,1E-06
Story20,3,136,MODAL,LinModEigen,Mode,11,-1.763E-07,1.6E-05,3.009E-08,3E-06
Story20,3,136,MODAL,LinModEigen,Mode,12,5E-06,-2.1E-05,1E-06,4E-06
Story20,3,136,PP,LinStatic,None,None,0.000519,-0.003441,1.5E-05,9.9E-05
Story20,3,136,TERP,LinStatic,None,None,0.000111,-0.000788,3E-06,2.3E-05
Story20,3,136,TERT,LinStatic,None,None,6E-06,-4.4E-05,2.12E-07,1E-06
Story20,3,136,SCP,LinStatic,None,None,0.000199,-0.001406,6E-06,4E-05
Story20,3,136,SCT,LinStatic,None,None,6E-06,-4.4E-05,2.12E-07,1E-06
Story20,3,136,SEx,LinRespSpec,Max,None,0.041408,0.029404,0.000915,0.000709
Story20,3,136,SEy,LinRespSpec,Max,None,0.005339,0.052666,0.000122,0.001276
Story20,3,136,SEx_b2,LinRespSpec,Max,None,0.039864,0.025861,0.000878,0.000623
Story20,3,136,SEy_b2,LinRespSpec,Max,None,0.00104,0.042799,1.9E-05,0.001037
Story20,3,136,TorX+,LinStatic,None,None,0,0,0,0
Story20,3,136,TorX-,LinStatic,None,None,0,0,0,0
Story20,3,136,TorY+,LinStatic,None,None,0,0,0,0
Story20,3,136,TorY-,LinStatic,None,None,0,0,0,0
Story20,3,136,ED1_C1_1.4CP,Combination,None,None,0.000891,-0.005982,2.6E-05,0.000173
Story20,3,136,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,0.001085,-0.007399,3.2E-05,0.000213
Story20,3,136,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,0.000972,-0.006605,2.8E-05,0.000191
Story20,3,136,ED1_DYN_XP,Combination,Max,None,0.058933,0.034632,0.001309,0.000805
Story20,3,136,ED1_DYN_XP,Combination,Min,None,-0.057008,-0.047699,0.001252,0.001181
Story20,3,136,ED1_DYN_XN,Combination,Max,None,0.058933,0.034632,0.001309,0.000805
Story20,3,136,ED1_DYN_XN,Combination,Min,None,-0.057008,-0.047699,0.001252,0.001181
Story20,3,136,ED1_DYN_YP,Combination,Max,None,0.008437,0.067198,0.000199,0.001598
Story20,3,136,ED1_DYN_YP,Combination,Min,None,-0.006512,-0.080265,0.000143,0.001975
Story20,3,136,ED1_DYN_YN,Combination,Max,None,0.008437,0.067198,0.000199,0.001598
Story20,3,136,ED1_DYN_YN,Combination,Min,None,-0.006512,-0.080265,0.000143,0.001975
Story20,3,136,ED1_DYN_09_XP,Combination,Max,None,0.058543,0.03732,0.001297,0.000882
Story20,3,136,ED1_DYN_09_XP,Combination,Min,None,-0.057398,-0.045011,0.001264,0.001104
Story20,3,136,ED1_DYN_09_XN,Combination,Max,None,0.058543,0.03732,0.001297,0.000882
Story20,3,136,ED1_DYN_09_XN,Combination,Min,None,-0.057398,-0.045011,0.001264,0.001104
Story20,3,136,ED1_DYN_09_YP,Combination,Max,None,0.008047,0.069886,0.000187,0.001676
Story20,3,136,ED1_DYN_09_YP,Combination,Min,None,-0.006902,-0.077577,0.000154,0.001897
Story20,3,136,ED1_DYN_09_YN,Combination,Max,None,0.008047,0.069886,0.000187,0.001676
Story20,3,136,ED1_DYN_09_YN,Combination,Min,None,-0.006902,-0.077577,0.000154,0.001897
Story20,4,137,Dead,LinStatic,None,None,0.000316,-0.003441,9E-06,9.9E-05
Story20,4,137,Live,LinStatic,None,None,0,0,0,0
