Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story20,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Top,365.8363,0,0,0,2468.6928,-7234.3997
Story20,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Bottom,656.9105,0,0,0,4616.496,-13019.4835
Story20,ED1_DYN_XP,Combination,Max,None,Top,290.5609,109.3026,5.1929,950.7713,1954.8083,-5744.6211
Story20,ED1_DYN_XP,Combination,Max,None,Bottom,581.635,109.3026,5.1929,950.7713,4116.1131,-11245.5183
Story20,ED1_DYN_XP,Combination,Min,None,Top,290.5609,-109.3026,-5.1929,-950.7713,1954.8083,-5744.6211
Story20,ED1_DYN_XP,Combination,Min,None,Bottom,581.635,-109.3026,-5.1929,-950.7713,4089.1098,-11813.8917
Story20,ED1_DYN_XN,Combination,Max,None,Top,290.5609,109.3026,5.1929,950.7713,1954.8083,-5744.6211
Story20,ED1_DYN_XN,Combination,Max,None,Bottom,581.635,109.3026,5.1929,950.7713,4116.1131,-11245.5183
Story20,ED1_DYN_XN,Combination,Min,None,Top,290.5609,-109.3026,-5.1929,-950.7713,1954.8083,-5744.6211
Story20,ED1_DYN_XN,Combination,Min,None,Bottom,581.635,-109.3026,-5.1929,-950.7713,4089.1098,-11813.8917
Story20,ED1_DYN_YP,Combination,Max,None,Top,290.5609,4.8119,108.4635,2337.0851,1954.8083,-5744.6211
Story20,ED1_DYN_YP,Combination,Max,None,Bottom,581.635,4.8119,108.4635,2337.0851,4384.6166,-11517.194
Story20,ED1_DYN_YP,Combination,Min,None,Top,290.5609,-4.8119,-108.4635,-2337.0851,1954.8083,-5744.6211
Story20,ED1_DYN_YP,Combination,Min,None,Bottom,581.635,-4.8119,-108.4635,-2337.0851,3820.6063,-11542.2159
Story20,ED1_DYN_YN,Combination,Max,None,Top,290.5609,4.8119,108.4635,2337.0851,1954.8083,-5744.6211
Story20,ED1_DYN_YN,Combination,Max,None,Bottom,581.635,4.8119,108.4635,2337.0851,4384.6166,-11517.194
Story20,ED1_DYN_YN,Combination,Min,None,Top,290.5609,-4.8119,-108.4635,-2337.0851,1954.8083,-5744.6211
Story20,ED1_DYN_YN,Combination,Min,None,Bottom,581.635,-4.8119,-108.4635,-2337.0851,3820.6063,-11542.2159
Story20,ED1_DYN_09_XP,Combination,Max,None,Top,217.9207,109.3026,5.1929,950.7713,1466.1062,-4308.4658
Story20,ED1_DYN_09_XP,Combination,Max,None,Bottom,436.2263,109.3026,5.1929,950.7713,3090.4603,-8363.092
Story20,ED1_DYN_09_XP,Combination,Min,None,Top,217.9207,-109.3026,-5.1929,-950.7713,1466.1062,-4308.4658
Story20,ED1_DYN_09_XP,Combination,Min,None,Bottom,436.2263,-109.3026,-5.1929,-950.7713,3063.4569,-8931.4654
Story20,ED1_DYN_09_XN,Combination,Max,None,Top,217.9207,109.3026,5.1929,950.7713,1466.1062,-4308.4658
Story20,ED1_DYN_09_XN,Combination,Max,None,Bottom,436.2263,109.3026,5.1929,950.7713,3090.4603,-8363.092
Story20,ED1_DYN_09_XN,Combination,Min,None,Top,217.9207,-109.3026,-5.1929,-950.7713,1466.1062,-4308.4658
Story20,ED1_DYN_09_XN,Combination,Min,None,Bottom,436.2263,-109.3026,-5.1929,-950.7713,3063.4569,-8931.4654
Story20,ED1_DYN_09_YP,Combination,Max,None,Top,217.9207,4.8119,108.4635,2337.0851,1466.1062,-4308.4658
Story20,ED1_DYN_09_YP,Combination,Max,None,Bottom,436.2263,4.8119,108.4635,2337.0851,3358.9637,-8634.7678
Story20,ED1_DYN_09_YP,Combination,Min,None,Top,217.9207,-4.8119,-108.4635,-2337.0851,1466.1062,-4308.4658
Story20,ED1_DYN_09_YP,Combination,Min,None,Bottom,436.2263,-4.8119,-108.4635,-2337.0851,2794.9535,-8659.7897
Story20,ED1_DYN_09_YN,Combination,Max,None,Top,217.9207,4.8119,108.4635,2337.0851,1466.1062,-4308.4658
Story20,ED1_DYN_09_YN,Combination,Max,None,Bottom,436.2263,4.8119,108.4635,2337.0851,3358.9637,-8634.7678
Story20,ED1_DYN_09_YN,Combination,Min,None,Top,217.9207,-4.8119,-108.4635,-2337.0851,1466.1062,-4308.4658
Story20,ED1_DYN_09_YN,Combination,Min,None,Bottom,436.2263,-4.8119,-108.4635,-2337.0851,2794.9535,-8659.7897
Story19,Dead,LinStatic,None,None,Top,632.7356,0,0,0,4405.4941,-12533.0486
Story19,Dead,LinStatic,None,None,Bottom,875.2974,0,0,0,6195.3301,-17353.9518
Story19,Live,LinStatic,None,None,Top,0,0,0,0,0,0
Story19,Live,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story19,MODAL,LinModEigen,Mode,1,Top,0,-0.0376,-0.0019,-0.1872,0.0021,-0.0411
Story19,MODAL,LinModEigen,Mode,1,Bottom,0,-0.0376,-0.0019,-0.1872,0.0071,-0.1387
Story19,MODAL,LinModEigen,Mode,2,Top,0,-0.0021,-0.0529,-0.9702,0.0579,-0.0023
Story19,MODAL,LinModEigen,Mode,2,Bottom,0,-0.0021,-0.0529,-0.9702,0.1955,-0.0078
Story19,MODAL,LinModEigen,Mode,3,Top,0,0.0406,-0.0063,-0.9445,0.0068,0.044
Story19,MODAL,LinModEigen,Mode,3,Bottom,0,0.0406,-0.0063,-0.9445,0.0231,0.1496
