Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story19,MODAL,LinModEigen,Mode,7,X,3E-06,15,27.834,0,50.2
Story19,MODAL,LinModEigen,Mode,8,Y,2E-06,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,9,X,2E-06,53,25.115,13.821,50.2
Story19,MODAL,LinModEigen,Mode,9,Y,4E-06,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,10,X,4E-06,15,27.834,0,50.2
Story19,MODAL,LinModEigen,Mode,11,Y,3E-06,2,0,6.446,50.2
Story19,MODAL,LinModEigen,Mode,12,X,2E-06,53,25.115,13.821,50.2
Story19,PP,LinStatic,None,None,Y,0.000106,2,0,6.446,50.2
Story19,TERP,LinStatic,None,None,Y,2.4E-05,2,0,6.446,50.2
Story19,TERT,LinStatic,None,None,Y,2E-06,2,0,6.446,50.2
Story19,SCP,LinStatic,None,None,Y,4.3E-05,2,0,6.446,50.2
Story19,SCT,LinStatic,None,None,Y,2E-06,2,0,6.446,50.2
Story19,SEx,LinRespSpec,Max,None,X,0.000945,15,27.834,0,50.2
Story19,SEx,LinRespSpec,Max,None,Y,0.000928,22,38.505,13.821,50.2
Story19,SEy,LinRespSpec,Max,None,Y,0.00134,2,0,6.446,50.2
Story19,SEx_b2,LinRespSpec,Max,None,X,0.000904,15,27.834,0,50.2
Story19,SEx_b2,LinRespSpec,Max,None,Y,0.000833,22,38.505,13.821,50.2
Story19,SEy_b2,LinRespSpec,Max,None,Y,0.001054,2,0,6.446,50.2
Story19,ED1_C1_1.4CP,Combination,None,None,Y,0.000184,2,0,6.446,50.2
Story19,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000227,2,0,6.446,50.2
Story19,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000203,2,0,6.446,50.2
Story19,ED1_DYN_XP,Combination,Max,None,X,0.001354,15,27.834,0,50.2
Story19,ED1_DYN_XP,Combination,Max,None,Y,0.001263,22,38.505,13.821,50.2
Story19,ED1_DYN_XP,Combination,Min,None,X,0.001292,15,27.834,0,50.2
Story19,ED1_DYN_XP,Combination,Min,None,Y,0.001404,2,0,6.446,50.2
Story19,ED1_DYN_XN,Combination,Max,None,X,0.001354,15,27.834,0,50.2
Story19,ED1_DYN_XN,Combination,Max,None,Y,0.001263,22,38.505,13.821,50.2
Story19,ED1_DYN_XN,Combination,Min,None,X,0.001292,15,27.834,0,50.2
Story19,ED1_DYN_XN,Combination,Min,None,Y,0.001404,2,0,6.446,50.2
Story19,ED1_DYN_YP,Combination,Max,None,Y,0.001675,2,0,6.446,50.2
